#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2017-01-03T19:18:19 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ586bf8d15886	
#INFO	-out.max=unlimited	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/MNRAS/432/1203&tab:{J/MNRAS/432/1203/table2}&key:source=J/MNRAS/432/1203/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/432/1203/table2
#-order=I
#-out=KIC
#-out=Teff
#-out=logg
#-out=f_logg
#-out=Mass
#-out=Per
#-out=e_Per
#-out=Amp
#-out=Flag
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_74321203
#Name: J/MNRAS/432/1203
#Title: Rotation periods of M-dwarf stars (McQuillan+, 2013)
#Table	J_MNRAS_432_1203_table2:
#Name: J/MNRAS/432/1203/table2
#Title: M-dwarfs with detected rotation periods
#Column	KIC	(I8)	KIC identification number (V/133)	[ucd=meta.id]
#Column	Teff	(I4)	Effective temperature	[ucd=phys.temperature.effective]
#Column	logg	(F5.2)	? Surface gravity	[ucd=phys.gravity]
#Column	f_logg	(A1)	[i] i for -{infinity}	[ucd=meta.code]
#Column	Mass	(F7.4)	Star mass	[ucd=phys.mass]
#Column	Per	(F6.3)	Rotation period	[ucd=time.period]
#Column	e_Per	(F6.3)	rms uncertainty on Per	[ucd=stat.error]
#Column	Amp	(F6.2)	[0.7/160] Amplitude of variability	[ucd=src.var]
#Column	Flag	(A2)	Flag on binarity or periodicity (1)	[ucd=meta.code.error]
#Column	_RA	(F10.6)	Positions from KIC (Cat. V/133) catalog (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F10.6)	Positions from KIC (Cat. V/133) catalog (declination part)	[ucd=pos.eq.dec;meta.main]
#KIC	Teff	logg	f_logg	Mass	Per	e_Per	Amp	Flag	_RA	_DE
# 	K	[cm/s2]	 	Msun	d	d	mmag	 	deg	deg
#————	----	-----	-	-------	------	------	------	--	----------	----------
 3425850	3887	 4.65	 	 0.4990	17.379	 0.097	  6.00	  	285.728580	+38.592129
 3426367	3546	 4.12	 	 0.3708	33.951	 0.849	  6.90	PL	285.928890	+38.520981
 3426874	3886	 4.51	 	 0.4986	33.736	 0.114	 10.40	  	286.114780	+38.539982
 3438817	3825	 4.49	 	 0.4750	37.659	17.038	  4.30	  	290.076110	+38.507069
 3442034	3724	 4.51	 	 0.4365	41.766	16.376	 11.40	  	291.012330	+38.582661
 3443137	3673	 4.52	 	 0.4173	36.740	15.666	  5.80	  	291.312190	+38.577541
 3444822	3678	 4.47	 	 0.4192	30.099	 0.254	 16.30	  	291.753200	+38.569160
 3449953	3683	 4.35	 	 0.4211	40.561	18.088	 16.00	  	293.031370	+38.518520
 3454793	3641	 4.35	 	 0.4054	 1.941	 0.010	 44.30	PB	294.205960	+38.529861
 3456560	3662	 4.29	 	 0.4132	30.364	 0.136	  5.40	  	294.633000	+38.585609
 3457337	3921	 4.54	 	 0.5123	18.697	 0.109	  4.50	  	294.806000	+38.590561
 3527308	3830	 4.61	 	 0.4769	29.159	 0.121	  9.40	  	285.725040	+38.681728
 3528588	3809	 4.50	 	 0.4688	15.979	 0.021	  6.00	  	286.241360	+38.616199
 3531176	3682	 4.52	 	 0.4207	22.354	 0.217	  7.10	  	287.226840	+38.644211
 3532922	3615	 4.24	 	 0.3959	38.027	19.974	  6.30	  	287.891170	+38.639790
 3533437	3831	 4.40	 	 0.4773	30.691	 0.332	 13.80	  	288.094670	+38.631538
 3539770	3839	 4.26	 	 0.4804	32.346	 0.044	 10.80	  	290.060580	+38.644009
 3550668	3678	 4.30	 	 0.4192	46.813	18.882	 16.80	  	292.978420	+38.670521
 3554849	3823	 4.46	 	 0.4742	32.255	 0.105	 12.30	  	294.005770	+38.664711
 3556011	3724	 4.43	 	 0.4365	23.601	 0.501	  5.40	  	294.296260	+38.662460
 3558213	3740	 4.44	 	 0.4425	28.689	 0.500	  3.30	  	294.818970	+38.655521
 3558789	3757	 4.45	 	 0.4490	33.103	 1.093	  6.80	  	294.935970	+38.665112
 3626713	3963	 4.55	 	 0.5288	23.795	 0.271	  3.60	  	285.086910	+38.719452
 3634308	3865	 4.40	 	 0.4904	12.924	 0.111	 15.10	  	288.060030	+38.720531
 3634402	3553	 4.16	 	 0.3733	47.774	13.819	  6.20	  	288.090640	+38.758862
 3643000	3886	 4.45	 	 0.4986	18.605	 0.023	  4.90	  	290.723600	+38.751781
 3648376	3657	 4.25	 	 0.4114	40.009	18.493	  4.80	  	292.154390	+38.776211
 3658853	3969	 4.39	 	 0.5311	11.044	 0.020	 18.40	  	294.762540	+38.733990
 3659811	3711	 4.48	 	 0.4316	17.348	 0.034	  8.60	  	294.974580	+38.769211
 3730371	3658	 4.59	 	 0.4117	43.013	14.896	  7.22	  	285.934630	+38.859772
 3733753	3821	 4.58	 	 0.4734	15.959	 0.225	  6.70	  	287.264470	+38.864101
 3745742	3257	 4.63	 	 0.2720	18.676	 0.069	  5.00	  	291.114690	+38.828510
 3748918	3822	 4.68	 	 0.4738	27.585	 0.091	  8.60	  	291.949920	+38.864971
 3756034	3747	 4.70	 	 0.4452	40.397	19.091	  5.30	  	293.774480	+38.814041
 3757251	3815	 4.64	 	 0.4711	15.509	 0.043	 10.50	  	294.059170	+38.838680
 3758197	3884	 4.57	 	 0.4978	22.426	 0.156	  5.00	  	294.292210	+38.806808
 3760677	3820	 4.60	 	 0.4731	36.658	 0.280	 12.90	  	294.915160	+38.898510
 3762903	3617	 4.43	 	 0.3966	43.830	15.448	  7.70	  	295.403590	+38.856270
 3763058	3928	 4.61	 	 0.5150	 6.488	 0.005	 25.20	  	295.431520	+38.897228
 3765134	3563	 4.64	 	 0.3769	43.156	19.930	  8.60	  	295.820680	+38.885078
 3830820	3902	 4.40	 	 0.5048	38.252	 9.549	  4.60	EB	284.620240	+38.969501
 3831534	3637	 4.26	 	 0.4040	37.036	 0.044	  7.60	  	284.896090	+38.901039
 3831911	3953	 4.41	 	 0.5248	 1.839	 0.000	 48.30	PB	285.055150	+38.985008
 3835071	3970	 4.60	 	 0.5315	38.068	 9.837	  5.85	  	286.379210	+38.908218
 3836257	3942	 4.65	 	 0.5205	39.457	20.179	 25.00	  	286.879850	+38.970940
 3837507	3808	 4.50	 	 0.4684	29.322	 0.030	  5.70	  	287.367340	+38.984959
 3838294	3678	 4.45	 	 0.4192	34.063	 0.175	  4.70	  	287.668430	+38.918228
 3866232	3938	 4.66	 	 0.5189	16.735	 0.289	  4.20	  	295.440700	+38.920959
 3934090	3905	 4.21	 	 0.5060	 5.844	 0.010	  8.40	  	284.500090	+39.082642
 3935499	3942	 4.38	 	 0.5205	 5.211	 0.000	 46.20	  	285.056950	+39.074490
 3935942	3695	 4.51	 	 0.4256	39.457	 9.531	  7.29	  	285.223820	+39.030170
 3938241	3867	 4.51	 	 0.4912	16.766	 0.052	  7.90	  	286.225710	+39.004372
 3940072	3523	 4.14	 	 0.3625	56.060	17.121	  5.80	  	286.948850	+39.031261
 3940372	3605	 4.21	 	 0.3922	19.330	 0.049	 22.30	  	287.072720	+39.042950
 3941415	3893	 4.40	 	 0.5013	26.911	 0.152	  9.80	  	287.487850	+39.062160
 3946894	3817	 4.53	 	 0.4719	39.784	 9.692	  9.00	  	289.340820	+39.033829
 3955879	3839	 4.62	 	 0.4804	32.919	 1.439	  4.91	  	291.932220	+39.098492
 3955891	3670	 4.56	 	 0.4162	33.695	 0.271	  8.50	  	291.936190	+39.056370
 3957292	3851	 4.56	 	 0.4850	31.590	 2.642	  6.40	  	292.298550	+39.040722
 3966704	3924	 4.63	 	 0.5135	31.437	 0.114	  7.10	  	294.687130	+39.039459
 3969563	3913	 4.58	 	 0.5091	24.449	 0.210	  6.20	  	295.353270	+39.029861
 3974567	4000	 4.47	 	 0.5434	26.073	 0.303	 12.00	  	296.290770	+39.000648
 4036313	3691	 4.38	 	 0.4241	38.681	13.809	  6.50	  	284.861570	+39.193649
 4038439	3672	 4.65	 	 0.4170	28.546	 0.424	  7.70	  	285.515230	+39.159370
 4043389	3713	 4.38	 	 0.4323	38.906	16.774	 22.70	  	287.382110	+39.180981
 4044678	3823	 4.61	 	 0.4742	26.625	12.369	  8.10	  	287.879610	+39.199879
 4049158	3881	 4.67	 	 0.4967	42.768	13.084	 12.50	  	289.327510	+39.141190
 4060965	3572	 4.34	 	 0.3802	38.722	16.138	  4.60	  	292.533420	+39.134281
 4068018	3931	 4.69	 	 0.5162	39.171	10.978	  3.10	  	294.312010	+39.100868
 4068727	3820	 4.50	 	 0.4731	31.856	 0.236	 14.10	  	294.479520	+39.199478
 4078087	3946	 4.51	 	 0.5221	29.057	 0.954	  4.20	  	296.466980	+39.157982
 4078175	3910	 4.28	 	 0.5080	22.201	 0.176	  5.00	  	296.484250	+39.191051
 4139476	3915	 4.51	 	 0.5099	20.413	 0.049	 12.20	  	285.954160	+39.289310
 4142890	3519	 4.09	 	 0.3611	18.962	 0.049	 20.90	  	287.322300	+39.281479
 4142913	   0	     	i	 0.0000	38.804	14.600	  9.10	  	287.329830	+39.201061
 4148125	3919	 4.50	 	 0.5115	18.104	 0.143	  5.90	  	289.053860	+39.238152
 4159885	3904	 4.58	 	 0.5056	33.143	 0.367	  4.23	  	292.153930	+39.216629
 4164310	3690	 4.39	 	 0.4237	31.315	 0.359	  8.20	  	293.193820	+39.287811
 4173626	3928	 4.44	 	 0.5150	25.522	 0.182	 11.70	  	295.298370	+39.277012
 4175398	3853	 4.34	 	 0.4858	30.906	 0.087	  7.30	  	295.641450	+39.231251
 4175707	3825	 4.33	 	 0.4750	 0.409	 0.005	 37.30	PB	295.698820	+39.266850
 4179525	3827	 4.43	 	 0.4758	20.515	 0.136	  9.80	  	296.385310	+39.218739
 4181240	3707	 4.42	 	 0.4301	31.131	 0.481	  4.70	  	296.695800	+39.295979
 4181245	3653	 4.58	 	 0.4099	19.882	 0.012	  9.10	  	296.696410	+39.262089
 4242514	3709	 4.56	 	 0.4308	31.785	 0.157	  7.70	  	285.091950	+39.375961
 4242943	3925	 4.43	 	 0.5138	29.159	 0.219	  8.70	  	285.237640	+39.313049
 4253385	3897	 4.69	 	 0.5029	36.740	 0.280	  6.50	  	289.089570	+39.306938
 4254223	3957	 4.62	 	 0.5264	31.560	 0.166	 11.40	  	289.335780	+39.331810
 4255219	3921	 4.55	 	 0.5123	18.482	 0.023	  6.50	  	289.646790	+39.382420
 4265815	3686	 4.49	 	 0.4222	41.031	13.149	 13.90	  	292.420100	+39.336239
 4271485	3981	 4.48	 	 0.5359	31.212	 0.122	  6.20	  	293.824250	+39.365059
 4275230	4000	 4.48	 	 0.5434	24.684	 0.061	 11.30	  	294.663970	+39.386921
 4275254	3949	 4.54	 	 0.5233	15.223	 0.032	 16.30	  	294.668610	+39.360722
 4275681	3734	 4.49	 	 0.4402	25.133	 0.576	  4.90	  	294.760650	+39.384819
 4279048	3949	 4.49	 	 0.5233	35.452	 0.297	  5.10	  	295.489140	+39.364510
 4280515	3982	 4.44	 	 0.5363	27.258	 0.318	  9.40	  	295.783690	+39.364330
 4280967	3902	 4.51	 	 0.5048	28.689	 0.227	 11.70	  	295.865050	+39.384129
 4281425	3902	 4.60	 	 0.5048	15.877	 0.129	  5.80	  	295.952970	+39.341610
 4283417	3993	 4.52	 	 0.5406	13.874	 0.131	  7.80	  	296.343080	+39.319118
 4349469	3678	 4.55	 	 0.4192	29.261	 0.258	  7.80	  	286.642880	+39.463409
 4349785	3832	 4.52	 	 0.4777	25.501	 0.106	  3.90	  	286.766450	+39.445831
 4355120	3679	 4.44	 	 0.4196	42.298	17.639	  6.10	  	288.751310	+39.496231
 4355503	3658	 4.70	 	 0.4117	 5.456	 0.005	 29.70	  	288.868530	+39.496132
 4356597	3952	 4.47	 	 0.5244	26.359	 0.333	  8.90	  	289.195130	+39.431541
 4357520	3814	 4.70	 	 0.4707	16.470	 0.043	 14.00	  	289.473420	+39.435280
 4367215	3972	 4.58	 	 0.5323	25.869	 0.121	  4.30	  	292.192350	+39.435390
 4370853	3935	 4.57	 	 0.5178	33.920	 0.052	  4.90	  	293.146090	+39.413021
 4370970	3649	 4.25	 	 0.4084	36.454	 0.254	  4.20	  	293.173070	+39.477879
 4378621	3712	 4.69	 	 0.4319	17.696	 0.029	 11.90	  	294.964320	+39.469891
 4381324	3674	 4.54	 	 0.4177	19.044	 0.210	  4.40	  	295.543700	+39.495941
 4381741	3886	 4.30	 	 0.4986	35.187	 9.386	  5.60	  	295.625400	+39.450142
 4383248	3846	 4.59	 	 0.4831	22.252	 0.068	 12.90	  	295.917020	+39.415279
 4386137	3686	 4.61	 	 0.4222	39.662	 7.754	  6.80	  	296.448910	+39.477428
 4386313	3927	 4.57	 	 0.5146	16.858	 0.021	  8.80	  	296.479610	+39.426701
 4387448	3920	 4.63	 	 0.5119	20.250	 0.346	  4.40	  	296.660640	+39.407318
 4443489	3973	 4.36	 	 0.5327	14.191	 0.177	  4.80	  	284.074920	+39.570629
 4458155	3676	 4.54	 	 0.4184	16.694	 0.032	 13.20	  	289.767760	+39.555119
 4470937	   0	     	i	 0.0000	67.441	19.561	  1.00	  	293.414340	+39.526875
 4471741	3969	 4.91	 	 0.5311	40.254	10.418	  4.70	  	293.624110	+39.518951
 4471819	3968	 4.62	 	 0.5307	15.060	 0.015	  8.30	  	293.641170	+39.590672
 4474292	3949	 4.66	 	 0.5233	17.174	 0.023	  4.90	  	294.262450	+39.549068
 4482203	3837	 4.59	 	 0.4796	19.371	 0.495	  5.07	  	296.036710	+39.564400
 4483841	3666	 4.36	 	 0.4147	34.104	 0.219	 15.00	  	296.355650	+39.505562
 4489051	3713	 4.54	 	 0.4323	33.675	 0.184	 11.40	  	297.403200	+39.576881
 4489414	3723	 4.41	 	 0.4361	35.963	 0.087	  5.30	HM	297.469700	+39.597301
 4540508	3860	 4.51	 	 0.4885	21.813	 0.041	  7.30	  	283.989650	+39.631908
 4543237	3932	 4.76	 	 0.5166	40.561	10.467	  2.75	  	285.267090	+39.659569
 4546642	3982	 4.57	 	 0.5363	17.553	 0.092	  4.90	  	286.775910	+39.694180
 4551429	3684	 4.35	 	 0.4214	35.238	 0.227	  5.80	  	288.690640	+39.661320
 4554367	3984	 4.36	 	 0.5371	16.429	 0.043	  8.50	  	289.589080	+39.616749
 4562228	3960	 4.34	 	 0.5276	19.330	 0.012	  8.60	  	291.850710	+39.664551
 4569115	3812	 4.63	 	 0.4700	18.758	 0.136	  5.90	  	293.741460	+39.651798
 4571091	3599	 4.65	 	 0.3900	19.463	 0.569	  3.40	  	294.228300	+39.669830
 4581344	3968	 4.53	 	 0.5307	18.717	 0.069	  7.40	  	296.463650	+39.622231
 4633585	3892	 4.53	 	 0.5009	35.902	12.265	  4.23	  	284.039310	+39.755470
 4639615	3868	 4.56	 	 0.4916	27.749	 0.394	  5.00	  	286.732880	+39.783829
 4641097	3696	 4.41	 	 0.4259	28.035	 0.606	  8.50	  	287.377350	+39.725849
 4645733	3858	 4.62	 	 0.4877	15.754	 0.021	 16.50	  	289.050870	+39.773312
 4647381	3999	 4.55	 	 0.5430	30.313	 0.315	  4.80	  	289.555150	+39.725689
 4648234	3827	 4.74	 	 0.4758	15.857	 0.075	  4.30	  	289.814850	+39.731949
 4651273	3997	 4.61	 	 0.5422	16.745	 0.092	 11.30	  	290.657990	+39.702419
 4655612	3934	 4.75	 	 0.5174	41.562	10.943	  5.57	  	291.971590	+39.710430
 4660255	3997	 4.58	 	 0.5422	 1.206	 0.000	 44.80	PB	293.321350	+39.709061
 4662431	3656	 4.60	 	 0.4110	14.528	 0.051	 38.20	  	293.894500	+39.732609
 4669176	3680	 4.55	 	 0.4199	37.271	10.658	  6.20	  	295.484590	+39.764530
 4669977	3661	 4.31	 	 0.4129	22.457	 0.088	 10.60	  	295.653200	+39.768299
 4672900	3679	 4.42	 	 0.4196	39.539	18.362	  5.50	  	296.261080	+39.778160
 4725531	3937	 4.57	 	 0.5186	26.196	 0.182	  5.40	  	283.807710	+39.899311
 4725681	3905	 4.59	 	 0.5060	15.407	 0.021	 28.10	PL	283.866390	+39.898079
 4726192	3908	 4.51	 	 0.5072	13.721	 0.040	 34.00	  	284.102870	+39.805790
 4729962	3803	 4.50	 	 0.4665	23.243	 0.115	  7.40	  	285.908390	+39.858379
 4731525	3555	 4.15	 	 0.3740	44.750	17.858	  8.70	  	286.602200	+39.882710
 4735754	3751	 4.56	 	 0.4467	20.515	 0.049	  7.60	  	288.364960	+39.829319
 4736554	3972	 4.57	 	 0.5323	30.150	 0.114	 18.40	  	288.664090	+39.825611
 4739885	3970	 4.62	 	 0.5315	32.857	 0.271	 17.90	  	289.735960	+39.801899
 4741455	3898	 4.45	 	 0.5033	 5.027	 0.000	 42.10	  	290.182680	+39.847809
 4743351	3944	 4.55	 	 0.5213	13.609	 0.010	 12.80	  	290.764890	+39.839951
 4751044	3899	 4.67	 	 0.5037	18.748	 0.052	  9.40	  	293.075900	+39.816189
 4754115	3949	 4.62	 	 0.5233	28.198	 9.937	 10.20	  	293.874020	+39.832481
 4758595	3519	 4.41	 	 0.3611	19.678	 0.210	  9.00	  	294.995270	+39.848061
 4758926	3900	 4.63	 	 0.5041	19.637	 0.037	  3.80	  	295.070650	+39.868961
 4758956	3706	 4.41	 	 0.4297	41.358	19.250	  5.60	  	295.078220	+39.887589
 4761031	3935	 4.63	 	 0.5178	25.828	 0.197	  5.10	  	295.540340	+39.885799
 4764652	3676	 4.39	 	 0.4184	31.723	 0.402	  5.50	  	296.260190	+39.800030
 4768453	3933	 4.58	 	 0.5170	20.495	 0.049	 10.20	  	297.053040	+39.821770
 4770707	3682	 4.36	 	 0.4207	43.605	17.018	 10.40	  	297.492680	+39.869911
 4773065	3859	 4.56	 	 0.4881	36.586	 0.289	  6.90	  	297.965610	+39.854691
 4818821	3980	 4.60	 	 0.5355	34.094	 1.216	  4.10	  	286.047700	+39.972038
 4824868	3983	 4.47	 	 0.5367	22.273	 0.149	  9.20	  	288.501950	+39.924530
 4827161	3673	 4.17	 	 0.4173	20.863	 0.025	 22.70	  	289.245150	+39.956959
 4831331	3665	 4.51	 	 0.4143	20.883	 0.025	  7.10	  	290.450930	+39.902390
